, (729 bp)HTH-type transcriptional regulator gadW[270274..271002]

AL 2_APECO1:(246 bp)hypothetical protein[1585853..1586098]
, (120 bp)hypothetical protein[1587429..1587548]
","AL 1_CFT073:(1833 bp)Putative transport protein[1721570..1723402]
","AL 1_IHE3034:(2619 bp)Cellulose synthase catalytic subunit [UDP-forming] (EC 2.4.1.12)[239678..242296]
, (2340 bp)Cyclic di-GMP binding protein precursor[242307..244646]
, (1077 bp)Endoglucanase precursor (EC 3.2.1.4)[244683..245759]
, (3474 bp)Cellulose synthase operon protein C[245741..249214]
, (1950 bp)Protein yhjK[249335..251284]
, (177 bp)hypothetical protein[251365..251541]
, (1188 bp)Aerobic C4-dicarboxylate transporter for fumarate, L-malate, D-malate, succunate[251566..252753]
, (1497 bp)Protein YhjJ, putative peptidase[252973..254469]
, (930 bp)2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)[254565..255494]
, (615 bp)GGDEF/EAL domain protein YhjH[255879..256493]
, (2061 bp)Uncharacterized protein YhjG[256563..258623]
, (1323 bp)Inner membrane metabolite transport protein YhjE[258802..260124]
, (1014 bp)Inner membrane protein YhjD[260517..261530]
, (972 bp)LysR family transcriptional regulator YhjC[261579..262550]
, (114 bp)hypothetical protein[262705..262818]
, (603 bp)Putative regulator[262998..263600]
, (1650 bp)Cytoplasmic trehalase (EC 3.2.1.28)[263651..265300]
, (1398 bp)Cytochrome c551 peroxidase (EC 1.11.1.5)[265705..267102]
, (1401 bp)Glutamate decarboxylase (EC 4.1.1.15)[267313..268713]
, (825 bp)HTH-type transcriptional regulator gadX[269081..269905]
, (729 bp)HTH-type transcriptional regulator gadW[270274..271002]

AL 2_IHE3034:(2496 bp)Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)[1639867..1642362]
","AL 1_IMT5155:(2682 bp)DNA helicase[3158028..3160709]
, (1233 bp)Co-activator of prophage gene expression IbrA[3161210..3162442]
, (639 bp)Co-activator of prophage gene expression IbrB[3162427..3163065]
, (270 bp)Putative transcriptional regulator[3163144..3163413]
, (642 bp)FIG00640819: hypothetical protein[3163437..3164078]
, (300 bp)Bundle-forming pilus protein BfpM[3164437..3164736]
, (249 bp)Mobile element protein[3164776..3165024]
, (426 bp)Mobile element protein[3165078..3165503]
, (237 bp)Mobile element protein[3165554..3165790]
, (141 bp)hypothetical protein[3165810..3165950]
, (744 bp)transcriptional regulator, Crp/Fnr family[3166042..3166785]
, (1368 bp)Nitrate/nitrite transporter[3166835..3168202]
, (1113 bp)mandelate racemase/muconate lactonizing enzyme family protein[3168274..3169386]
, (267 bp)Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)[3169626..3169892]
, (159 bp)Mobile element protein[3170399..3170557]
, (276 bp)Mobile element protein[3170633..3170908]
, (480 bp)Mobile element protein[3170908..3171387]
, (114 bp)Mobile element protein[3171684..3171797]
, (1524 bp)Retron-type RNA-directed DNA polymerase (EC 2.7.7.49)[3171979..3173502]
, (372 bp)Mobile element protein[3173694..3174065]
, (180 bp)FIG00642280: hypothetical protein[3174474..3174653]
, (264 bp)FIG00642280: hypothetical protein[3174692..3174955]
, (564 bp)FIG00638123: hypothetical protein[3175553..3176116]
, (1836 bp)hypothetical protein[3177491..3179326]
, (288 bp)Cys-tRNA(Pro) deacylase YbaK[3179427..3179714]
, (1527 bp)Hyphotheical protein[3179689..3181215]
, (135 bp)hypothetical protein[3181267..3181401]
, (1218 bp)Integrase[3181385..3182602]
, (1116 bp)Sensory box/GGDEF domain protein[3182879..3183994]
, (2424 bp)Biofilm PGA outer membrane secretin PgaA[3184719..3187142]

AL 2_IMT5155:(645 bp)ENSANGP00000000114[4648299..4648943]
, (234 bp)FIG00640213: hypothetical protein[4648945..4649178]
, (192 bp)hypothetical protein[4649159..4649350]
, (387 bp)hypothetical protein[4649431..4649817]
","AL 1_LF82:(2619 bp)Cellulose synthase catalytic subunit [UDP-forming] (EC 2.4.1.12)[239678..242296]
, (2340 bp)Cyclic di-GMP binding protein precursor[242307..244646]
, (1077 bp)Endoglucanase precursor (EC 3.2.1.4)[244683..245759]
, (3474 bp)Cellulose synthase operon protein C[245741..249214]
, (1950 bp)Protein yhjK[249335..251284]
, (177 bp)hypothetical protein[251365..251541]
, (1188 bp)Aerobic C4-dicarboxylate transporter for fumarate, L-malate, D-malate, succunate[251566..252753]
, (1497 bp)Protein YhjJ, putative peptidase[252973..254469]
, (930 bp)2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)[254565..255494]
, (615 bp)GGDEF/EAL domain protein YhjH[255879..256493]
, (2061 bp)Uncharacterized protein YhjG[256563..258623]
, (1323 bp)Inner membrane metabolite transport protein YhjE[258802..260124]
, (1014 bp)Inner membrane protein YhjD[260517..261530]
, (972 bp)LysR family transcriptional regulator YhjC[261579..262550]
, (114 bp)hypothetical protein[262705..262818]
, (603 bp)Putative regulator[262998..263600]

AL 2_LF82:(825 bp)HTH-type transcriptional regulator gadX[269081..269905]
, (729 bp)HTH-type transcriptional regulator gadW[270274..271002]
, (3114 bp)RND efflux system, inner membrane transporter CmeB[271365..274478]
, (1158 bp)Membrane fusion protein of RND family multidrug efflux pump[274503..275660]

AL 3_LF82:(711 bp)Phage terminase, small subunit[1494966..1495676]
, (1476 bp)terminase B protein, putative[1495673..1497148]

AL 4_LF82:(231 bp)FIG00642684: hypothetical protein[1488394..1488624]
, (201 bp)FIG00640815: hypothetical protein[1488775..1488975]
, (840 bp)Primosomal protein I[1488991..1489830]
","AL 1_NRG857c:(2619 bp)Cellulose synthase catalytic subunit [UDP-forming] (EC 2.4.1.12)[239678..242296]
, (2340 bp)Cyclic di-GMP binding protein precursor[242307..244646]
, (1077 bp)Endoglucanase precursor (EC 3.2.1.4)[244683..245759]
, (3474 bp)Cellulose synthase operon protein C[245741..249214]
, (1950 bp)Protein yhjK[249335..251284]
, (177 bp)hypothetical protein[251365..251541]
, (1188 bp)Aerobic C4-dicarboxylate transporter for fumarate, L-malate, D-malate, succunate[251566..252753]
, (1497 bp)Protein YhjJ, putative peptidase[252973..254469]
, (930 bp)2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)[254565..255494]
, (615 bp)GGDEF/EAL domain protein YhjH[255879..256493]
, (2061 bp)Uncharacterized protein YhjG[256563..258623]
, (1323 bp)Inner membrane metabolite transport protein YhjE[258802..260124]
, (1014 bp)Inner membrane protein YhjD[260517..261530]
, (972 bp)LysR family transcriptional regulator YhjC[261579..262550]
, (114 bp)hypothetical protein[262705..262818]
, (603 bp)Putative regulator[262998..263600]
, (1650 bp)Cytoplasmic trehalase (EC 3.2.1.28)[263651..265300]
, (1398 bp)Cytochrome c551 peroxidase (EC 1.11.1.5)[265705..267102]
, (1401 bp)Glutamate decarboxylase (EC 4.1.1.15)[267313..268713]
, (825 bp)HTH-type transcriptional regulator gadX[269081..269905]

AL 3_NRG857c:(408 bp)gene 66 protein[1497206..1497613]
, (207 bp)FIG00640622: hypothetical protein[1498316..1498522]
, (77 bp)tRNA-Arg-TCT[1497812..1497888]
","AL 1_PSUO2:(396 bp)Phage protein[4663909..4664304]
, (909 bp)Phage major capsid protein[4664315..4665223]
, (342 bp)hypothetical protein[4665227..4665568]
, (432 bp)Mu-like prophage protein GP36[4665572..4666003]
, (582 bp)Mu-like prophage FluMu protein gp37[4666057..4666638]
, (201 bp)FIG00642563: hypothetical protein[4666652..4666852]
, (1422 bp)Bacteriophage tail sheath protein[4666845..4668266]
, (375 bp)Transaldolase (EC 2.2.1.2)[4668279..4668653]
, (384 bp)FIG00644346: hypothetical protein[4668650..4669033]
, (159 bp)hypothetical protein[4669048..4669206]
, (2274 bp)FIG035595: Phage protein[4669196..4671469]
, (1350 bp)Phage tail/DNA circulation protein[4671469..4672818]
, (1212 bp)FIG003269: Prophage tail protein[4672802..4674013]
, (654 bp)Prophage baseplate assembly protein V[4674010..4674663]
, (351 bp)Bacteriophage protein GP46[4674717..4675067]
, (1080 bp)Phage FluMu protein gp47[4675067..4676146]
, (573 bp)FIG121501: Prophage tail protein[4676150..4676722]
, (2379 bp)Phage tail fiber protein[4676722..4679100]
, (1173 bp)Outer membrane component of tripartite multidrug resistance system[4679497..4680669]
, (114 bp)hypothetical protein[4680692..4680805]
, (2148 bp)Formate dehydrogenase H (EC 1.2.1.2) @ selenocysteine-containing[4680867..4683014]
, (1569 bp)Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2); Putative hemin-binding lipoprotein[4683389..4684957]
, (1050 bp)Dipeptide transport system permease protein DppB (TC 3.A.1.5.2); putative hemin permease[4685057..4686106]
, (834 bp)Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)[4686106..4686939]
, (837 bp)Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)[4686932..4687768]

AL 2_PSUO2:(153 bp)hypothetical protein[4656202..4656354]
, (501 bp)putative DNA-binding protein[4656354..4656854]
, (741 bp)adenine DNA methyltransferase[4656901..4657641]

AL 3_PSUO2:(2433 bp)Pyruvate formate-lyase (EC 2.3.1.54)[3392993..3395425]
, (816 bp)HMP-PP hydrolase (pyridoxal phosphatase) Cof, detected in genetic screen for thiamin metabolic genes (PMID:15292217)[3395571..3396386]
","AL 1_RS218:(1560 bp)FIG005274: hypothetical protein[236885..238444]
, (189 bp)FIG004405: Putative cytoplasmic protein[238729..238917]
, (753 bp)Cellulose synthase, putative[238929..239681]
, (2619 bp)Cellulose synthase catalytic subunit [UDP-forming] (EC 2.4.1.12)[239678..242296]
, (2340 bp)Cyclic di-GMP binding protein precursor[242307..244646]
, (1077 bp)Endoglucanase precursor (EC 3.2.1.4)[244683..245759]
, (3474 bp)Cellulose synthase operon protein C[245741..249214]
, (1950 bp)Protein yhjK[249335..251284]
, (177 bp)hypothetical protein[251365..251541]
, (1188 bp)Aerobic C4-dicarboxylate transporter for fumarate, L-malate, D-malate, succunate[251566..252753]
, (1497 bp)Protein YhjJ, putative peptidase[252973..254469]
, (930 bp)2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)[254565..255494]
, (615 bp)GGDEF/EAL domain protein YhjH[255879..256493]
, (2061 bp)Uncharacterized protein YhjG[256563..258623]
, (1323 bp)Inner membrane metabolite transport protein YhjE[258802..260124]
, (1014 bp)Inner membrane protein YhjD[260517..261530]
, (972 bp)LysR family transcriptional regulator YhjC[261579..262550]
, (114 bp)hypothetical protein[262705..262818]
, (603 bp)Putative regulator[262998..263600]
, (1650 bp)Cytoplasmic trehalase (EC 3.2.1.28)[263651..265300]

AL 2_RS218:(564 bp)FIG00643624: hypothetical protein[1578161..1578724]
, (711 bp)hypothetical protein[1578990..1579700]
","AL 1_SCI07:(690 bp)D-Galactonate repressor DgoR[8569..9258]
, (879 bp)2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)[9255..10133]
, (618 bp)2-dehydro-3-deoxyphosphogalactonate aldolase (EC 4.1.2.21)[10117..10734]
, (1149 bp)Galactonate dehydratase (EC 4.2.1.6)[10731..11879]
, (1293 bp)D-galactonate transporter[11999..13291]
, (1101 bp)Uncharacterized protein YidS[13252..14352]
, (1251 bp)Uncharacterized protein YidR[14417..15667]
, (261 bp)Outer membrane lipoprotein YidQ[15671..15931]
, (414 bp)16 kDa heat shock protein A[16309..16722]
, (429 bp)16 kDa heat shock protein B[16834..17262]
, (150 bp)FIG00637910: hypothetical protein[17267..17416]
, (1662 bp)Mediator of hyperadherence YidE[17458..19119]
, (867 bp)Hypothetical transcriptional regulator yidL[19209..20075]
, (1716 bp)Sodium-Choline Symporter[20242..21957]
, (1494 bp)Choline-sulfatase (EC 3.1.6.6)[21954..23447]
, (348 bp)Putative inner membrane protein[23507..23854]
, (363 bp)Putative inner membrane protein[23844..24206]
, (498 bp)Putative arylsulfatase regulatory protein[24203..24700]
, (1185 bp)Multidrug resistance protein D[24708..25892]
, (1689 bp)Acetolactate synthase large subunit (EC 2.2.1.6)[26497..28185]
, (291 bp)Acetolactate synthase small subunit (EC 2.2.1.6)[28189..28479]
, (591 bp)Transcriptional regulatory protein UhpA[28552..29142]
, (1494 bp)Sensor histidine protein kinase UhpB, glucose-6-phosphate specific (EC 2.7.13.3)[29151..30644]
, (1320 bp)Hexose phosphate uptake regulatory protein UhpC[30654..31973]
, (1392 bp)Hexose phosphate transport protein UhpT[32111..33502]
, (1767 bp)Adenine deaminase (EC 3.5.4.2)[33549..35315]
, (1347 bp)Xanthine/uracil/thiamine/ascorbate permease family protein[35478..36824]
, (453 bp)probable membrane protein YPO2654[36877..37329]
, (324 bp)Putative DNA-binding protein in cluster with Type I restriction-modification system[37445..37768]

AL 2_SCI07:(489 bp)Z5092 protein[45582..46070]
, (378 bp)YeeV toxin protein[46067..46444]
, (249 bp)YeeU protein (antitoxin to YeeV)[46533..46781]
, (222 bp)Uncharacterized protein YkfH[46975..47196]
","AL 1_SCU-397:(654 bp)DNA adenine methylase[4776507..4777160]
, (252 bp)FIG00641663: hypothetical protein[4777160..4777411]
, (813 bp)Primosomal protein I[4777651..4778463]
, (225 bp)FIG00638770: hypothetical protein[4778466..4778690]

AL 2_SCU-397:(1149 bp)putative antirepressor[4778687..4779835]
, (552 bp)FIG00639586: hypothetical protein[4779832..4780383]
, (261 bp)Phage DNA-binding protein[4780376..4780636]
, (648 bp)regulatory protein[4780779..4781426]
, (363 bp)FIG00638873: hypothetical protein[4782129..4782491]
, (825 bp)FIG00642676: hypothetical protein[4782558..4783382]
, (537 bp)Hypothetical protein yfdR[4783510..4784046]
, (330 bp)Phage eae protein[4784058..4784387]

AL 3_SCU-397:(990 bp)Phage antitermination protein Q[4773972..4774961]
, (810 bp)Phage-related protein[4774969..4775778]
, (390 bp)Holliday junction resolvase / Crossover junction endodeoxyribonuclease rusA (EC 3.1.22.-)[4775798..4776187]
, (327 bp)SOS-response repressor and protease LexA (EC 3.4.21.88)[4776184..4776510]

AL 4_SCU-397:(204 bp)FIG00638312: hypothetical protein[4772073..4772276]
, (192 bp)hypothetical protein[4772500..4772691]
","AL 1_UTI89:(2619 bp)Cellulose synthase catalytic subunit [UDP-forming] (EC 2.4.1.12)[239678..242296]
, (2340 bp)Cyclic di-GMP binding protein precursor[242307..244646]
, (1077 bp)Endoglucanase precursor (EC 3.2.1.4)[244683..245759]
, (3474 bp)Cellulose synthase operon protein C[245741..249214]
, (1950 bp)Protein yhjK[249335..251284]
, (177 bp)hypothetical protein[251365..251541]
, (1188 bp)Aerobic C4-dicarboxylate transporter for fumarate, L-malate, D-malate, succunate[251566..252753]
, (1497 bp)Protein YhjJ, putative peptidase[252973..254469]
, (930 bp)2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)[254565..255494]
, (615 bp)GGDEF/EAL domain protein YhjH[255879..256493]
, (2061 bp)Uncharacterized protein YhjG[256563..258623]
, (1323 bp)Inner membrane metabolite transport protein YhjE[258802..260124]
, (1014 bp)Inner membrane protein YhjD[260517..261530]
, (972 bp)LysR family transcriptional regulator YhjC[261579..262550]
, (114 bp)hypothetical protein[262705..262818]
, (603 bp)Putative regulator[262998..263600]
, (1650 bp)Cytoplasmic trehalase (EC 3.2.1.28)[263651..265300]
, (1398 bp)Cytochrome c551 peroxidase (EC 1.11.1.5)[265705..267102]
, (1401 bp)Glutamate decarboxylase (EC 4.1.1.15)[267313..268713]
, (825 bp)HTH-type transcriptional regulator gadX[269081..269905]
, (729 bp)HTH-type transcriptional regulator gadW[270274..271002]

AL 2_UTI89:(426 bp)Acetyltransferase YpeA[1597052..1597477]
, (348 bp)Inner membrane protein YfeZ[1597566..1597913]
, (576 bp)Predicted outer membrane lipoprotein YfeY[1597974..1598549]
"
Region 2,"AL1(2699 bp)(BEN2908:274888, BEN2908:277567)(78-Pyelo:875762, 78-Pyelo:878455)
AL2(2577 bp)(BEN2908:325688, BEN2908:328264)(78-Pyelo:3911702, 78-Pyelo:3909127)
AL3(2225 bp)(BEN2908:716448, BEN2908:718672)(78-Pyelo:3902602, 78-Pyelo:3900378)","AL1(8927 bp)(BEN2908:265989, BEN2908:274893)(APECO1:299546, APECO1:308443)
AL2(2225 bp)(BEN2908:330939, BEN2908:333163)(APECO1:312518, APECO1:314742)
AL3(1169 bp)(BEN2908:702928, BEN2908:704066)(APECO1:297531, APECO1:298698)","AL1(2699 bp)(BEN2908:274888, BEN2908:277567)(CFT073:3500434, CFT073:3497741)
AL2(2225 bp)(BEN2908:330939, BEN2908:333163)(CFT073:375453, CFT073:377677)
AL3(1098 bp)(BEN2908:712676, BEN2908:713773)(CFT073:370281, CFT073:371378)","AL1(2225 bp)(BEN2908:277568, BEN2908:279792)(IHE3034:300210, IHE3034:302434)
AL2(1098 bp)(BEN2908:327167, BEN2908:328264)(IHE3034:295038, IHE3034:296135)","AL1(2701 bp)(BEN2908:274888, BEN2908:277569)(IMT5155:804569, IMT5155:807269)
AL2(2700 bp)(BEN2908:328258, BEN2908:330938)(IMT5155:1589466, IMT5155:1592165)
AL3(2700 bp)(BEN2908:713768, BEN2908:716448)(IMT5155:3845495, IMT5155:3848194)
AL4(2699 bp)(BEN2908:920678, BEN2908:923357)(IMT5155:104444, IMT5155:107142)
AL5(2699 bp)(BEN2908:1175844, BEN2908:1178523)(IMT5155:2588223, IMT5155:2590921)
AL6(2699 bp)(BEN2908:1327630, BEN2908:1330309)(IMT5155:2703856, IMT5155:2701158)
AL7(2699 bp)(BEN2908:1488592, BEN2908:1491271)(IMT5155:3233408, IMT5155:3230710)
AL8(2699 bp)(BEN2908:1541912, BEN2908:1544591)(IMT5155:4125224, IMT5155:4127922)
AL9(2700 bp)(BEN2908:2006958, BEN2908:2009637)(IMT5155:4615858, IMT5155:4618557)
AL10(2699 bp)(BEN2908:2087552, BEN2908:2090231)(IMT5155:15392, IMT5155:12694)
AL11(2700 bp)(BEN2908:2124743, BEN2908:2127423)(IMT5155:844781, IMT5155:842083)
AL12(2149 bp)(BEN2908:2184763, BEN2908:2186896)(IMT5155:2434678, IMT5155:2436826)
AL13(2228 bp)(BEN2908:2542564, BEN2908:2544777)(IMT5155:1023172, IMT5155:1020945)
AL14(1673 bp)(BEN2908:2717849, BEN2908:2719511)(IMT5155:2612660, IMT5155:2614332)
AL15(1104 bp)(BEN2908:2844813, BEN2908:2845916)(IMT5155:3225530, IMT5155:3226632)","AL1(2225 bp)(BEN2908:277568, BEN2908:279792)(LF82:304736, LF82:306960)
AL2(1098 bp)(BEN2908:327167, BEN2908:328264)(LF82:299564, LF82:300661)","AL1(2225 bp)(BEN2908:277568, BEN2908:279792)(NRG857c:299759, NRG857c:301983)
AL2(1098 bp)(BEN2908:327167, BEN2908:328264)(NRG857c:294587, NRG857c:295684)","AL1(2225 bp)(BEN2908:277568, BEN2908:279792)(PSUO2:4548727, PSUO2:4546503)
AL2(1098 bp)(BEN2908:327167, BEN2908:328264)(PSUO2:4553898, PSUO2:4552801)
AL3(1368 bp)(BEN2908:714678, BEN2908:716038)(PSUO2:160490, PSUO2:161856)","AL1(2225 bp)(BEN2908:277568, BEN2908:279792)(RS218:295179, RS218:297403)
AL2(1098 bp)(BEN2908:327167, BEN2908:328264)(RS218:290007, RS218:291104)","AL1(2225 bp)(BEN2908:277568, BEN2908:279792)(SCI07:1948, SCI07:4172)
AL2(1098 bp)(BEN2908:327167, BEN2908:328264)(SCI07:61211, SCI07:62308)","AL1(2716 bp)(BEN2908:274888, BEN2908:277579)(SCU-397:3399006, SCU-397:3401715)
AL2(2707 bp)(BEN2908:328252, BEN2908:330938)(SCU-397:2638543, SCU-397:2635841)
AL3(2702 bp)(BEN2908:713768, BEN2908:716447)(SCU-397:3887319, SCU-397:3884624)
AL4(2701 bp)(BEN2908:920678, BEN2908:923357)(SCU-397:5375975, SCU-397:5378667)
AL5(2698 bp)(BEN2908:1175844, BEN2908:1178523)(SCU-397:681174, SCU-397:683860)
AL6(2706 bp)(BEN2908:1327629, BEN2908:1330309)(SCU-397:5164712, SCU-397:5167408)
AL7(2701 bp)(BEN2908:1488592, BEN2908:1491271)(SCU-397:4164001, SCU-397:4161319)
AL8(2701 bp)(BEN2908:1541912, BEN2908:1544591)(SCU-397:1467010, SCU-397:1469693)","AL1(2225 bp)(BEN2908:277568, BEN2908:279792)(UTI89:310929, UTI89:313153)
AL2(1098 bp)(BEN2908:327167, BEN2908:328264)(UTI89:305756, UTI89:306853)"
Region 2,"AL 1_78-Pyelo:(381 bp)Mobile element protein[875792..876172]
, (1104 bp)Mobile element protein[876255..877358]
, (348 bp)Mobile element protein[877378..877725]
, (306 bp)Mobile element protein[877725..878030]

AL 2_78-Pyelo:(525 bp)HTH-type transcriptional regulator papX[3908754..3909278]
, (339 bp)Mobile element protein[3909713..3910051]
, (1278 bp)Integrase[3910367..3911644]

AL 3_78-Pyelo:(177 bp)Mobile element protein[3900762..3900938]
","AL 1_APECO1:(435 bp)Universal stress protein A[299133..299567]
, (282 bp)Universal stress protein B[300012..300293]
, (1500 bp)Low-affinity inorganic phosphate transporter[300364..301863]
, (1194 bp)NAD(FAD)-utilizing dehydrogenases[302095..303288]
, (1065 bp)FIG00638244: hypothetical protein[303375..304439]
, (1068 bp)Putative membrane protein[305161..306228]

AL 2_APECO1:(1509 bp)Putative carbohydrate kinase in cluster with fructose-bisphosphate aldolase[311335..312843]
, (1359 bp)Putative carbohydrate PTS system, IIC component (EC 2.7.1.69)[312836..314194]
, (282 bp)Putative carbohydrate PTS system, IIB component (EC 2.7.1.69)[314271..314552]
","AL 1_CFT073:(186 bp)FIG00639598: hypothetical protein[3497631..3497816]
, (1284 bp)Citrate synthase (si) (EC 2.3.3.1)[3497804..3499087]
, (243 bp)FIG00639192: hypothetical protein[3499235..3499477]

AL 2_CFT073:(705 bp)Putative major fimbrial subunit precursor[375499..376203]
, (753 bp)chaperone FimC[376304..377056]

